Education,Marital_Status,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Income,Month,Year,Day,Day_of_Week,Age_Range,Total_Spend,Total_Purchase
Graduation,Married,0,0,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,SP,18351.0,Oct,2013,29,Tue,30-39,43,6
PhD,Single,0,0,1,1285,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,1,0,SP,95169.0,Oct,2013,9,Wed,30-39,1901,12
2n Cycle,Married,0,0,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,0,SP,65370.0,Aug,2013,1,Thur,30-39,461,19
Master,Divorced,0,0,1,7,1,6,0,3,3,1,0,0,3,4,0,0,0,0,0,0,0,SA,39228.0,May,2013,10,Fri,60-69,20,4
PhD,Single,0,0,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,1,0,SP,84865.0,May,2013,9,Thur,60-69,1688,16
Graduation,Married,0,1,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,SP,61314.0,Apr,2013,25,Thur,50-59,1008,24
Graduation,Single,1,0,1,12,2,17,6,1,10,2,2,0,3,8,0,0,0,0,0,1,0,CA,21359.0,Apr,2013,20,Sat,80-89,48,7
PhD,Married,0,1,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,0,SP,66465.0,Mar,2013,30,Sat,60-69,1485,35
2n Cycle,Single,0,0,1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,1,0,SP,81698.0,Mar,2013,1,Fri,30-39,1104,16
Graduation,Single,1,0,1,94,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,0,SP,39146.0,Feb,2013,14,Thur,30-39,165,11
2n Cycle,Divorced,1,1,1,4,2,12,7,5,26,2,1,2,2,6,0,0,0,0,0,1,0,SP,25959.0,Feb,2013,14,Thur,50-59,56,7
Graduation,Together,0,0,1,539,169,816,20,0,30,1,4,5,4,3,0,0,0,0,0,1,0,SP,64260.0,Jan,2013,11,Fri,60-69,1574,14
Graduation,Married,1,0,1,13,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,0,0,SP,32300.0,Jan,2013,3,Thur,40-49,39,5
Master,Married,0,1,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,AUS,74806.0,Dec,2012,19,Wed,50-59,965,16
Graduation,Divorced,0,1,1,158,35,179,0,0,125,2,7,2,8,5,1,0,0,0,0,1,0,GER,72967.0,Dec,2012,15,Sat,50-59,497,19
Graduation,Single,0,1,1,283,10,38,0,13,27,4,7,2,4,8,0,0,0,0,0,0,0,US,48904.0,Dec,2012,2,Sun,60-69,371,17
2n Cycle,Married,1,0,1,13,3,8,7,4,16,2,1,0,3,9,0,0,0,0,0,1,0,GER,14796.0,Sep,2012,17,Mon,30-39,51,6
Master,Married,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,GER,66991.0,Sep,2012,11,Tue,60-69,1253,21
2n Cycle,Single,2,1,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,SA,52195.0,May,2014,12,Mon,40-49,17,4
Graduation,Married,0,0,2,292,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,1,0,SP,90369.0,Apr,2014,28,Mon,60-69,1588,17
Basic,Married,1,0,2,7,10,13,16,0,4,2,3,0,3,8,0,0,0,0,0,0,0,SP,18393.0,Mar,2014,29,Sat,40-49,50,8
Graduation,Single,1,1,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,1,0,SP,47139.0,Mar,2014,6,Thur,80-89,83,7
Master,Married,0,1,2,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,0,IND,38576.0,Mar,2014,4,Tue,40-49,41,5
PhD,Together,0,1,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,SA,61905.0,Feb,2014,4,Tue,40-49,231,12
Graduation,Married,0,0,2,318,8,407,150,35,8,1,2,8,13,0,0,0,0,0,0,0,0,SA,83715.0,Feb,2014,3,Mon,80-89,926,24
Graduation,Married,0,1,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,1,0,SP,60597.0,Jan,2014,1,Wed,50-59,893,16
Master,Single,0,0,2,67,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,0,0,SP,6560.0,Dec,2013,12,Thur,80-89,373,2
Master,Together,0,1,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,SP,48330.0,Nov,2013,15,Fri,60-69,32,5
PhD,Single,1,1,2,58,0,18,2,0,10,4,3,0,4,7,0,0,0,0,0,0,0,SP,38236.0,Sep,2013,20,Fri,50-59,88,11
Master,Married,1,0,2,2,4,9,0,4,5,1,1,0,3,5,0,0,0,0,0,0,0,SP,22701.0,Sep,2013,5,Thur,40-49,24,5
Master,Divorced,1,1,2,229,7,140,10,3,11,7,5,1,8,7,0,0,0,0,0,1,0,AUS,53367.0,Aug,2013,31,Sat,40-49,400,21
Graduation,Together,1,0,2,14,0,16,0,0,6,1,1,1,2,6,0,0,0,0,0,1,0,SP,34728.0,Jul,2013,30,Tue,30-39,36,5
Master,Married,0,2,2,622,7,115,30,0,15,2,6,3,12,5,0,0,0,0,0,0,0,AUS,63915.0,Jul,2013,30,Tue,60-69,789,23
2n Cycle,Married,0,0,2,362,50,431,134,35,54,1,3,6,7,1,0,0,0,0,0,0,0,IND,82504.0,Jul,2013,27,Sat,60-69,1066,17
PhD,Single,1,1,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,1,0,SP,38578.0,Jun,2013,22,Sat,80-89,73,9
PhD,Single,1,1,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,0,SP,38578.0,Jun,2013,22,Sat,80-89,73,9
PhD,Married,0,0,2,1074,37,518,193,92,129,1,5,6,7,2,0,0,1,1,0,1,0,CA,79174.0,Jan,2013,11,Fri,40-49,2043,19
2n Cycle,Divorced,0,1,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,SA,81975.0,Jan,2013,5,Sat,80-89,1588,14
Master,Married,0,1,2,262,6,61,0,10,102,3,5,2,6,5,0,0,0,0,0,0,0,SP,43263.0,Nov,2012,21,Wed,40-49,441,16
Graduation,Single,1,0,2,3,17,26,20,1,39,2,2,0,3,9,0,0,0,0,0,1,0,IND,27242.0,Nov,2012,11,Sun,50-59,106,7
Graduation,Married,1,0,2,739,107,309,140,80,35,1,2,5,13,6,0,0,0,0,0,0,0,SA,76445.0,Sep,2012,28,Fri,50-59,1410,21
Graduation,Together,0,0,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,0,SP,75276.0,Sep,2012,27,Thur,50-59,1040,23
Graduation,Widow,1,1,2,50,4,28,6,3,26,3,3,1,2,9,0,0,0,0,0,1,0,SA,34213.0,Sep,2012,7,Fri,50-59,117,9
PhD,Together,0,0,2,1285,105,653,28,21,0,1,10,4,8,8,0,0,0,0,0,1,0,SP,72335.0,Aug,2012,13,Mon,40-49,2092,23
Master,Married,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,AUS,79143.0,Aug,2012,11,Sat,50-59,1693,29
Graduation,Married,0,0,2,9,1,2,3,2,0,1,0,0,3,6,0,0,0,0,0,0,0,CA,27469.0,Aug,2012,2,Thur,70-79,17,4
Graduation,Together,0,0,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,SP,68695.0,Jun,2014,25,Wed,50-59,1091,16
Graduation,Together,0,0,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,CA,68695.0,Jun,2014,25,Wed,50-59,1091,16
Graduation,Single,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,1,0,GER,50388.0,May,2014,28,Wed,60-69,372,17
PhD,Together,0,2,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0,SA,77622.0,Apr,2014,14,Mon,50-59,714,22
Graduation,Divorced,2,1,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,SP,46102.0,Mar,2014,10,Mon,80-89,16,4
2n Cycle,Single,1,0,3,3,4,7,15,8,11,1,1,0,3,7,0,0,0,0,0,0,0,SP,31859.0,Feb,2014,27,Thur,40-49,48,5
2n Cycle,Single,0,0,3,1,8,6,4,8,16,1,1,0,3,7,0,0,0,0,0,0,0,SP,23830.0,Feb,2014,7,Fri,30-39,43,5
Graduation,Married,1,1,3,20,3,16,0,4,1,3,2,0,4,6,0,0,0,0,0,0,0,AUS,24639.0,Jan,2014,28,Tue,40-49,44,9
PhD,Together,0,0,3,345,53,528,98,75,97,1,8,3,5,4,1,0,0,0,0,1,0,SP,71604.0,Nov,2013,17,Sun,70-79,1196,17
Graduation,Married,1,0,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,SP,27255.0,Nov,2013,7,Thur,30-39,37,5
Graduation,Together,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,CA,55375.0,Oct,2013,17,Thur,40-49,162,9
PhD,Married,0,1,3,463,96,333,168,53,10,1,7,7,12,3,0,0,0,0,0,0,0,SP,77037.0,Oct,2013,13,Sun,60-69,1123,27
Graduation,Single,1,1,3,4,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,0,0,SP,24163.0,Oct,2013,12,Sat,50-59,17,6
PhD,Together,0,0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,US,69476.0,Sep,2013,30,Mon,50-59,1044,15
Graduation,Married,0,1,3,180,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0,0,GER,72063.0,Jul,2013,3,Wed,40-49,758,21
Master,Married,0,1,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,SP,58646.0,Jun,2013,10,Mon,80-89,140,8
Master,Married,0,1,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,GER,58646.0,Jun,2013,10,Mon,80-89,140,8
Master,Widow,1,1,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,1,0,US,47570.0,May,2013,29,Wed,70-79,121,9
Graduation,Married,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,AUS,80011.0,Apr,2013,29,Mon,40-49,1395,21
PhD,Single,0,1,3,154,22,202,39,30,8,5,4,2,9,4,0,0,0,0,0,1,0,SP,54998.0,Mar,2013,10,Sun,60-69,455,20
PhD,Single,0,1,3,502,19,132,0,6,26,6,6,2,11,6,0,0,0,0,0,0,0,SP,60200.0,Jan,2013,2,Wed,70-79,685,25
Graduation,Married,0,0,3,145,193,459,205,26,145,2,3,8,7,2,0,0,0,0,0,1,0,SP,63211.0,Nov,2012,2,Fri,80-89,1173,20
PhD,Single,0,1,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,SA,48432.0,Oct,2012,18,Thur,40-49,424,19
Master,Married,1,1,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,0,0,SP,62845.0,Oct,2012,1,Mon,70-79,1178,28
Master,Married,1,1,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,1,0,SP,62845.0,Oct,2012,1,Mon,70-79,1178,28
PhD,Together,0,0,3,890,63,292,0,25,12,4,8,4,7,6,0,0,0,0,0,1,0,GER,65220.0,Sep,2012,3,Mon,50-59,1282,23
PhD,Married,0,0,3,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0,0,SP,74214.0,Aug,2012,26,Sun,30-39,1711,16
2n Cycle,Married,0,0,4,448,21,125,52,101,62,0,7,6,8,2,1,0,1,1,0,1,0,SP,96547.0,May,2014,23,Fri,40-49,809,21
Graduation,Together,0,1,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,SP,53863.0,May,2014,17,Sat,60-69,473,18
Graduation,Married,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,IND,50447.0,Apr,2014,21,Mon,50-59,148,8
Graduation,Married,0,1,4,97,1,41,6,2,41,2,4,1,3,7,0,0,0,0,0,0,0,AUS,37716.0,Apr,2014,21,Mon,60-69,188,10
Graduation,Together,2,0,4,35,3,67,10,8,24,1,3,1,3,6,0,0,0,0,0,1,0,SA,45203.0,Mar,2014,23,Sun,80-89,147,8
Master,Married,1,0,4,3,2,11,2,2,10,1,1,0,2,6,1,0,0,0,0,0,0,SP,37368.0,Dec,2013,16,Mon,40-49,30,4
Graduation,Married,0,1,4,315,35,322,46,7,143,3,7,2,11,5,0,0,0,0,0,0,0,US,67225.0,Nov,2013,26,Tue,60-69,868,23
Master,Together,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,1,0,CA,65104.0,Nov,2013,14,Thur,40-49,1053,17
Master,Together,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0,SP,65104.0,Nov,2013,14,Thur,40-49,1053,17
Master,Married,0,0,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,1,0,SP,81698.0,Nov,2013,6,Wed,70-79,1008,25
Graduation,Single,0,1,4,381,28,215,84,28,21,2,6,5,9,3,0,0,0,0,0,0,0,SP,70566.0,Oct,2013,6,Sun,50-59,757,22
Graduation,Together,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,GER,69096.0,Sep,2013,27,Fri,60-69,653,18
Graduation,Married,0,1,4,711,36,217,172,96,168,3,7,4,7,4,0,1,0,1,0,0,0,SP,71434.0,Sep,2013,18,Wed,80-89,1400,21
Graduation,Married,1,0,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,SP,33039.0,Sep,2013,9,Mon,40-49,78,7
Graduation,Married,1,0,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,CA,33039.0,Sep,2013,9,Mon,40-49,78,7
Graduation,Together,0,0,4,288,10,30,4,10,125,1,6,1,6,6,0,0,0,0,0,0,0,SP,46610.0,Jul,2013,18,Thur,60-69,467,14
Graduation,Single,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,CA,49967.0,Jul,2013,8,Mon,60-69,306,15
Graduation,Married,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,US,53359.0,May,2013,27,Mon,40-49,257,14
Master,Married,1,1,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,0,SP,49505.0,Mar,2013,5,Tue,50-59,751,29
Master,Married,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,AUS,68657.0,Feb,2013,20,Wed,70-79,1196,18
Graduation,Divorced,0,1,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,SP,72071.0,Feb,2013,14,Thur,60-69,1338,20
Graduation,Divorced,0,1,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,CA,72071.0,Feb,2013,14,Thur,60-69,1338,20
Master,Single,1,0,4,448,40,469,80,0,91,3,11,2,12,7,0,0,0,0,0,0,0,IND,59235.0,Jan,2013,12,Sat,50-59,1128,28
Graduation,Together,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,AUS,21994.0,Dec,2012,24,Mon,60-69,22,4
Graduation,Together,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,SP,21994.0,Dec,2012,24,Mon,60-69,22,4
PhD,Married,2,1,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,GER,52247.25135379061,Nov,2012,19,Mon,60-69,603,29
Graduation,Married,0,0,4,496,32,849,229,48,128,2,5,3,6,4,0,0,0,1,0,0,0,CA,69209.0,Sep,2012,17,Mon,80-89,1782,16
Graduation,Together,1,0,5,33,4,24,4,2,5,2,3,0,4,7,0,0,0,0,0,0,0,IND,31928.0,Mar,2014,28,Fri,30-39,72,9
PhD,Single,0,0,5,784,48,560,42,176,48,1,4,6,4,3,0,0,1,1,0,1,0,IND,74004.0,Feb,2014,24,Mon,30-39,1658,15
2n Cycle,Married,0,0,5,10,12,12,25,1,20,1,2,0,3,6,0,0,0,0,0,0,0,IND,30390.0,Sep,2013,2,Mon,30-39,80,6
Graduation,Married,1,0,5,5,13,14,0,5,31,2,2,1,2,6,1,0,0,0,0,1,0,US,21355.0,Aug,2013,20,Tue,30-39,68,7
Graduation,Married,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,GER,26304.0,Jun,2013,23,Sun,50-59,16,4
2n Cycle,Married,0,0,5,600,20,350,29,30,33,1,6,9,10,2,0,0,1,0,0,0,0,IND,85710.0,May,2013,5,Sun,30-39,1062,26
Graduation,Divorced,0,0,5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,1,0,SA,102692.0,Apr,2013,5,Fri,40-49,1112,29
Graduation,Single,0,1,5,493,26,206,116,80,80,4,8,3,12,6,0,0,0,0,0,0,0,SP,58350.0,Jan,2013,4,Fri,50-59,1001,27
Graduation,Single,1,1,5,6,5,4,13,4,25,4,2,1,3,6,0,0,0,0,0,0,0,SP,7500.0,Dec,2012,27,Thur,40-49,57,10
Master,Single,0,0,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,1,0,SA,18890.0,Nov,2012,10,Sat,30-39,35,4
Basic,Married,1,0,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,CA,20425.0,Oct,2012,29,Mon,30-39,57,7
Basic,Married,1,0,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,GER,20425.0,Oct,2012,29,Mon,30-39,57,7
PhD,Divorced,1,1,5,29,0,2,0,0,1,1,1,0,3,7,0,0,0,0,0,0,0,SP,41437.0,Sep,2012,22,Sat,60-69,32,5
Master,Together,0,1,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,1,0,ME,49912.0,Sep,2012,7,Fri,70-79,874,26
Master,Together,0,1,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,1,0,AUS,49912.0,Sep,2012,7,Fri,70-79,874,26
Graduation,Married,0,1,6,835,73,380,114,73,43,1,6,9,7,2,0,1,0,0,0,0,0,AUS,79823.0,Mar,2014,31,Mon,60-69,1518,23
Graduation,Divorced,0,0,6,1296,17,311,45,69,51,1,2,4,10,1,0,1,1,1,1,1,0,SP,85683.0,Mar,2014,21,Fri,60-69,1789,17
PhD,Divorced,1,1,6,16,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,SP,47025.0,Feb,2014,9,Sun,50-59,20,4
PhD,Married,0,1,6,760,80,466,17,13,80,1,6,9,5,3,0,0,0,0,0,0,0,SA,68397.0,Nov,2013,17,Sun,40-49,1416,21
PhD,Married,1,0,6,70,6,69,2,3,3,3,3,1,4,7,0,0,0,0,0,0,0,SP,38175.0,Sep,2013,23,Mon,30-39,153,11
Master,Single,1,1,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0,SP,46423.0,Sep,2013,18,Wed,80-89,92,9
Master,Single,1,1,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0,SP,46423.0,Sep,2013,18,Wed,80-89,92,9
Master,Together,1,0,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,0,SA,30560.0,Jun,2013,27,Thur,40-49,31,5
Master,Together,1,0,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,0,CA,30560.0,Jun,2013,27,Thur,40-49,31,5
Graduation,Single,0,1,6,325,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,0,0,SP,60152.0,Mar,2013,28,Thur,40-49,943,23
Graduation,Together,1,1,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,SA,29672.0,Mar,2013,12,Tue,50-59,25,4
Graduation,Together,1,1,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,SP,29672.0,Mar,2013,12,Tue,50-59,25,4
Graduation,Together,0,0,6,303,23,751,82,26,191,1,6,5,13,4,0,0,0,0,0,1,0,SP,70321.0,Jan,2013,16,Wed,70-79,1376,25
Graduation,Married,0,1,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,SP,56181.0,Jan,2013,8,Tue,80-89,393,14
Basic,Married,0,0,6,16,36,21,20,62,108,1,4,1,3,8,0,0,0,0,0,0,0,SP,24279.0,Dec,2012,29,Sat,30-39,263,9
PhD,Married,0,0,6,561,64,785,84,128,48,1,3,3,8,1,0,0,0,0,0,0,0,SP,68462.0,Dec,2012,12,Wed,50-59,1670,15
PhD,Married,0,1,6,462,61,184,10,53,107,4,7,5,9,6,1,0,0,0,0,1,0,SP,55424.0,Nov,2012,25,Sun,40-49,877,25
Graduation,Married,0,1,6,376,0,38,11,8,69,5,6,3,6,6,0,0,0,0,0,0,0,SP,49094.0,Sep,2012,21,Fri,40-49,502,20
2n Cycle,Widow,0,1,6,341,142,113,259,151,66,3,6,6,12,5,0,0,0,0,0,0,0,SP,59184.0,Sep,2012,9,Sun,60-69,1072,27
Graduation,Together,0,0,6,595,97,291,127,133,121,1,11,5,12,6,0,0,0,0,0,0,0,GER,67430.0,Sep,2012,5,Wed,30-39,1364,29
Master,Married,0,1,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,SP,30522.0,Aug,2012,17,Fri,60-69,326,17
2n Cycle,Single,0,1,7,23,4,5,10,5,23,1,1,0,4,3,0,0,0,0,0,0,0,SP,31878.0,Jun,2014,22,Sun,40-49,70,6
